,timestamp,value,label
949,2015-08-21 21:59:00,1364,0
512,2015-08-10 15:55:00,79,0
765,2015-08-14 17:07:00,305,0
534,2015-08-11 08:52:00,545,0
1885,2015-09-14 10:09:00,160,0
1700,2015-09-11 12:27:00,348,0
1874,2015-09-14 07:59:00,152,0
1746,2015-09-12 05:13:00,118,0
93,2015-08-01 22:45:00,201,0
557,2015-08-11 17:21:00,125,0
1143,2015-08-28 08:19:00,218,0
1169,2015-08-28 14:18:00,297,0
1862,2015-09-14 03:49:00,124,0
504,2015-08-10 13:06:00,345,0
1893,2015-09-14 11:39:00,289,0
612,2015-08-12 07:50:00,167,0
488,2015-08-10 10:06:00,224,0
1004,2015-08-24 13:32:00,156,0
1208,2015-08-30 09:45:00,167,0
2097,2015-09-17 02:10:00,130,0
1718,2015-09-11 16:40:00,439,0
1916,2015-09-14 17:15:00,146,0
1161,2015-08-28 12:36:00,728,0
1499,2015-09-07 15:54:00,71,0
1466,2015-09-06 19:11:00,142,0
1174,2015-08-28 15:47:00,248,0
1516,2015-09-08 08:32:00,293,0
847,2015-08-18 10:34:00,183,0
1344,2015-09-03 07:45:00,153,0
2090,2015-09-17 00:41:00,122,0
2117,2015-09-17 09:31:00,210,0
1748,2015-09-12 05:39:00,1960,0
757,2015-08-14 14:47:00,176,0
2075,2015-09-16 22:01:00,144,0
1242,2015-08-30 20:17:00,162,0
1102,2015-08-27 09:16:00,213,0
1995,2015-09-16 04:15:00,126,0
1130,2015-08-27 17:37:00,134,0
744,2015-08-14 11:47:00,350,0
1960,2015-09-15 13:14:00,141,0
1108,2015-08-27 10:26:00,336,0
579,2015-08-11 21:51:00,1127,0
1629,2015-09-10 10:30:00,170,0
1089,2015-08-27 04:46:00,114,0
1021,2015-08-24 18:41:00,141,0
727,2015-08-13 19:06:00,151,0
2058,2015-09-16 18:51:00,142,0
1888,2015-09-14 10:49:00,364,0
523,2015-08-11 05:42:00,150,0
537,2015-08-11 09:22:00,308,0
20,2015-07-29 09:43:00,218,0
1921,2015-09-14 18:45:00,145,0
195,2015-08-04 20:48:00,2155,0
1468,2015-09-06 19:31:00,143,0
85,2015-07-31 17:41:00,230,0
699,2015-08-13 10:46:00,241,0
1380,2015-09-03 18:45:00,164,0
1762,2015-09-12 10:33:00,188,0
1570,2015-09-09 15:48:00,189,0
522,2015-08-11 05:32:00,120,0
1295,2015-09-01 22:01:00,147,0
298,2015-08-07 10:30:00,595,0
1900,2015-09-14 12:49:00,293,0
492,2015-08-10 10:57:00,229,0
472,2015-08-10 01:06:00,98,0
318,2015-08-07 14:30:00,154,0
38,2015-07-30 14:48:00,189,0
493,2015-08-10 11:07:00,282,0
785,2015-08-16 05:17:00,117,0
1966,2015-09-15 14:36:00,122,0
2012,2015-09-16 08:05:00,173,0
622,2015-08-12 10:31:00,328,0
2036,2015-09-16 13:15:00,148,0
2096,2015-09-17 02:01:00,126,0
1509,2015-09-08 04:23:00,120,0
1690,2015-09-11 10:34:00,181,0
822,2015-08-17 09:00:00,293,0
1012,2015-08-24 16:03:00,175,0
616,2015-08-12 08:52:00,282,0
445,2015-08-09 19:27:00,166,0
40,2015-07-30 15:08:00,392,0
1980,2015-09-15 21:54:00,146,0
46,2015-07-30 16:08:00,863,0
1877,2015-09-14 08:29:00,229,0
726,2015-08-13 18:56:00,183,0
1350,2015-09-03 09:06:00,358,0
1287,2015-09-01 11:14:00,114,0
1112,2015-08-27 11:16:00,565,0
53,2015-07-30 21:39:00,69,0
1441,2015-09-05 10:37:00,175,0
311,2015-08-07 13:20:00,273,0
1508,2015-09-07 22:12:00,152,0
1672,2015-09-10 20:04:00,166,0
723,2015-08-13 18:25:00,196,0
1357,2015-09-03 10:26:00,352,0
937,2015-08-21 16:08:00,386,0
1616,2015-09-10 08:10:00,287,0
1126,2015-08-27 13:46:00,368,0
1196,2015-08-29 19:55:00,364,0
1054,2015-08-25 18:33:00,607,0
884,2015-08-20 08:25:00,260,0
2093,2015-09-17 01:21:00,127,0
1988,2015-09-16 02:25:00,127,0
876,2015-08-19 13:44:00,688,0
690,2015-08-13 09:07:00,298,0
2137,2015-09-17 13:01:00,155,0
4,2015-07-28 14:06:00,103,0
475,2015-08-10 07:37:00,250,0
1456,2015-09-06 06:47:00,116,0
2138,2015-09-17 13:10:00,149,0
718,2015-08-13 17:37:00,235,0
446,2015-08-09 19:46:00,131,0
282,2015-08-06 18:08:00,50,0
1215,2015-08-30 14:46:00,331,0
45,2015-07-30 15:58:00,729,0
1099,2015-08-27 08:44:00,265,0
750,2015-08-14 13:27:00,424,0
916,2015-08-21 08:59:00,213,0
882,2015-08-20 05:34:00,112,0
130,2015-08-03 11:56:00,216,0
1714,2015-09-11 15:50:00,319,0
1341,2015-09-03 06:06:00,118,0
1311,2015-09-02 19:49:00,174,0
680,2015-08-13 04:47:00,251,0
1265,2015-08-31 14:03:00,171,0
2125,2015-09-17 10:51:00,427,0
337,2015-08-07 18:27:00,259,0
552,2015-08-11 14:41:00,508,0
547,2015-08-11 13:42:00,280,0
869,2015-08-19 11:05:00,373,0
2063,2015-09-16 19:51:00,154,0
1063,2015-08-26 08:09:00,207,0
1438,2015-09-05 09:59:00,517,0
1636,2015-09-10 12:21:00,72,0
1125,2015-08-27 13:36:00,376,0
515,2015-08-10 16:56:00,165,0
1407,2015-09-04 11:13:00,245,0
1809,2015-09-13 10:27:00,132,0
1864,2015-09-14 04:09:00,122,0
1868,2015-09-14 04:49:00,117,0
1248,2015-08-31 05:57:00,118,0
84,2015-07-31 17:18:00,349,0
1843,2015-09-13 20:08:00,127,0
21,2015-07-29 10:03:00,218,0
1098,2015-08-27 08:36:00,238,0
1149,2015-08-28 09:28:00,167,0
1605,2015-09-10 05:00:00,128,0
1582,2015-09-09 18:10:00,428,0
817,2015-08-17 08:10:00,177,0
1963,2015-09-15 14:05:00,94,0
957,2015-08-22 09:06:00,364,0
1679,2015-09-11 08:14:00,333,0
1015,2015-08-24 16:43:00,141,0
22,2015-07-29 10:13:00,286,0
287,2015-08-07 06:09:00,5461,0
1604,2015-09-10 04:50:00,132,0
1632,2015-09-10 11:03:00,177,0
2088,2015-09-17 00:21:00,291,0
713,2015-08-13 16:46:00,402,0
1361,2015-09-03 11:46:00,158,0
455,2015-08-09 21:26:00,120,0
2077,2015-09-16 22:20:00,315,0
202,2015-08-04 22:10:00,1070,0
585,2015-08-11 22:52:00,2192,0
2139,2015-09-17 13:20:00,163,0
1292,2015-09-01 14:25:00,116,0
2025,2015-09-16 10:25:00,202,0
1739,2015-09-11 20:23:00,163,0
885,2015-08-20 08:44:00,309,0
897,2015-08-20 11:45:00,322,0
342,2015-08-07 20:55:00,138,0
2109,2015-09-17 08:11:00,167,0
405,2015-08-09 05:50:00,1614,0
1560,2015-09-09 09:57:00,196,0
2031,2015-09-16 11:25:00,168,0
119,2015-08-03 08:05:00,240,0
5,2015-07-28 14:16:00,96,0
1520,2015-09-08 09:12:00,254,0
862,2015-08-19 09:27:00,363,0
830,2015-08-17 11:20:00,270,0
626,2015-08-12 11:12:00,388,0
908,2015-08-20 17:35:00,159,0
1282,2015-09-01 09:24:00,158,0
1323,2015-09-03 00:16:00,683,0
260,2015-08-06 10:07:00,205,0
570,2015-08-11 19:52:00,824,0
500,2015-08-10 12:27:00,428,0
394,2015-08-08 22:01:00,143,0
712,2015-08-13 16:36:00,405,0
1882,2015-09-14 09:19:00,139,0
721,2015-08-13 18:07:00,76,0
1346,2015-09-03 08:26:00,228,0
1462,2015-09-06 15:01:00,131,0
1961,2015-09-15 13:46:00,129,0
1902,2015-09-14 13:07:00,277,0
681,2015-08-13 04:57:00,106,0
1065,2015-08-26 08:30:00,305,0
1159,2015-08-28 11:34:00,612,0
32,2015-07-30 11:07:00,348,0
2023,2015-09-16 09:54:00,140,0
621,2015-08-12 10:12:00,253,0
634,2015-08-12 12:41:00,360,0
1175,2015-08-28 15:58:00,260,0
976,2015-08-24 06:22:00,133,0
1675,2015-09-11 07:34:00,153,0
