,timestamp,value,label
2272,2015-09-17 07:30:00,1.28,0
1413,2015-09-13 15:23:00,10.67,0
1734,2015-09-15 04:16:00,1.0,0
1477,2015-09-13 21:13:00,2.06,0
375,2015-09-03 18:01:00,7.5,0
1001,2015-09-11 09:12:00,4.78,0
1029,2015-09-11 12:14:00,6.33,0
736,2015-09-09 16:38:00,6.17,0
75,2015-09-02 05:30:00,5.83,0
1038,2015-09-11 13:04:00,4.28,0
7,2015-09-01 14:35:00,1.67,0
1549,2015-09-14 08:53:00,3.83,0
2364,2015-09-17 15:13:00,2.56,0
1998,2015-09-16 06:14:00,10.83,0
1399,2015-09-13 13:48:00,6.17,0
259,2015-09-03 06:06:00,12.28,0
2204,2015-09-17 01:25:00,0.0,0
1324,2015-09-13 00:16:00,0.67,0
737,2015-09-09 16:43:00,3.44,0
1295,2015-09-12 20:01:00,5.83,0
659,2015-09-08 20:41:00,0.67,0
782,2015-09-09 22:13:00,0.78,0
1350,2015-09-13 08:56:00,3.61,0
1086,2015-09-11 17:19:00,7.61,0
951,2015-09-11 03:47:00,3.33,0
153,2015-09-02 13:25:00,4.28,0
369,2015-09-03 17:26:00,7.22,0
420,2015-09-04 05:12:00,5.06,0
890,2015-09-10 17:27:00,7.33,0
1592,2015-09-14 13:08:00,3.72,0
1031,2015-09-11 12:24:00,2.67,0
1360,2015-09-13 10:11:00,3.33,0
869,2015-09-10 15:17:00,3.72,0
893,2015-09-10 17:47:00,5.28,0
1572,2015-09-14 10:53:00,1.78,0
1334,2015-09-13 05:21:00,0.39,0
371,2015-09-03 17:41:00,10.28,0
1130,2015-09-11 22:11:00,4.67,0
470,2015-09-04 10:27:00,3.83,0
896,2015-09-10 18:07:00,6.06,0
1207,2015-09-12 11:16:00,6.72,0
672,2015-09-08 22:36:00,1.17,0
1169,2015-09-12 07:21:00,2.28,0
218,2015-09-02 22:31:00,2.67,0
52,2015-09-02 00:15:00,0.39,0
2156,2015-09-16 19:55:00,4.39,0
1913,2015-09-15 20:19:00,4.22,0
1952,2015-09-16 00:44:00,0.0,0
988,2015-09-11 07:57:00,7.44,0
615,2015-09-08 14:36:00,5.0,0
2144,2015-09-16 18:55:00,3.11,0
2294,2015-09-17 09:20:00,9.56,0
1416,2015-09-13 15:43:00,9.83,0
318,2015-09-03 12:06:00,1.67,0
874,2015-09-10 15:42:00,2.28,0
1071,2015-09-11 16:04:00,1.56,0
459,2015-09-04 08:57:00,2.33,0
2162,2015-09-16 20:25:00,0.67,0
1450,2015-09-13 18:38:00,10.67,0
2322,2015-09-17 11:45:00,3.72,0
1989,2015-09-16 05:24:00,6.56,0
223,2015-09-03 00:01:00,1.83,0
606,2015-09-08 13:41:00,3.44,0
184,2015-09-02 16:55:00,7.33,0
2236,2015-09-17 04:30:00,0.89,0
646,2015-09-08 18:56:00,1.17,0
632,2015-09-08 17:06:00,7.72,0
1600,2015-09-14 13:55:00,4.5,0
303,2015-09-03 10:16:00,3.06,0
154,2015-09-02 13:30:00,3.22,0
1708,2015-09-15 00:40:00,0.5,0
173,2015-09-02 15:30:00,3.11,0
1196,2015-09-12 10:16:00,1.94,0
663,2015-09-08 21:11:00,1.56,0
1696,2015-09-14 23:11:00,0.67,0
2115,2015-09-16 16:15:00,3.06,0
354,2015-09-03 15:46:00,9.83,0
1810,2015-09-15 11:06:00,2.17,0
65,2015-09-02 04:25:00,1.44,0
959,2015-09-11 05:22:00,4.11,0
935,2015-09-10 23:42:00,2.28,0
914,2015-09-10 20:28:00,3.11,0
1358,2015-09-13 10:01:00,0.5,0
995,2015-09-11 08:32:00,9.17,0
1891,2015-09-15 18:09:00,6.28,0
1298,2015-09-12 20:31:00,4.89,0
380,2015-09-03 18:36:00,2.83,0
853,2015-09-10 13:12:00,3.89,0
2149,2015-09-16 19:20:00,2.72,0
966,2015-09-11 06:02:00,8.39,0
1377,2015-09-13 11:46:00,1.78,0
891,2015-09-10 17:37:00,4.28,0
1439,2015-09-13 17:43:00,6.72,0
103,2015-09-02 07:55:00,2.72,0
2370,2015-09-17 15:43:00,7.89,0
1705,2015-09-15 00:11:00,0.0,0
1760,2015-09-15 06:35:00,11.11,0
960,2015-09-11 05:32:00,2.67,0
1576,2015-09-14 11:33:00,4.22,0
1588,2015-09-14 12:38:00,2.17,0
1883,2015-09-15 17:24:00,10.72,0
389,2015-09-03 20:17:00,7.22,0
724,2015-09-09 15:23:00,6.56,0
2017,2015-09-16 07:49:00,8.89,0
513,2015-09-04 15:02:00,3.61,0
1306,2015-09-12 21:26:00,0.28,0
1676,2015-09-14 20:50:00,1.78,0
811,2015-09-10 08:28:00,9.06,0
1732,2015-09-15 04:06:00,1.28,0
2105,2015-09-16 15:25:00,4.89,0
1690,2015-09-14 22:21:00,0.67,0
910,2015-09-10 19:47:00,1.83,0
136,2015-09-02 11:25:00,4.11,0
1220,2015-09-12 12:36:00,6.17,0
456,2015-09-04 08:32:00,6.83,0
1405,2015-09-13 14:28:00,3.5,0
1278,2015-09-12 18:06:00,0.0,0
325,2015-09-03 12:51:00,2.67,0
587,2015-09-08 11:29:00,7.5,0
63,2015-09-02 04:15:00,2.17,0
588,2015-09-08 11:34:00,8.39,0
707,2015-09-09 13:03:00,6.56,0
1218,2015-09-12 12:26:00,4.78,0
2027,2015-09-16 08:39:00,8.11,0
1733,2015-09-15 04:10:00,1.0,0
1041,2015-09-11 13:24:00,5.56,0
1366,2015-09-13 10:41:00,5.39,0
2222,2015-09-17 03:15:00,0.0,0
899,2015-09-10 18:22:00,3.83,0
1482,2015-09-13 22:28:00,1.67,0
566,2015-09-04 20:38:00,6.28,0
1391,2015-09-13 13:03:00,13.28,0
80,2015-09-02 06:00:00,7.5,0
145,2015-09-02 12:40:00,4.89,0
1654,2015-09-14 18:30:00,1.56,0
1875,2015-09-15 16:44:00,7.06,0
347,2015-09-03 15:11:00,5.67,0
670,2015-09-08 22:12:00,0.67,0
866,2015-09-10 15:02:00,1.78,0
222,2015-09-02 23:51:00,2.94,0
1505,2015-09-14 02:28:00,1.28,0
1138,2015-09-11 23:36:00,1.06,0
166,2015-09-02 14:50:00,5.83,0
1540,2015-09-14 06:33:00,9.83,0
500,2015-09-04 13:52:00,5.56,0
1438,2015-09-13 17:38:00,10.67,0
1711,2015-09-15 01:15:00,0.61,0
754,2015-09-09 18:48:00,1.56,0
1684,2015-09-14 21:50:00,0.89,0
1161,2015-09-12 05:56:00,4.11,0
2047,2015-09-16 10:24:00,4.39,0
2328,2015-09-17 12:15:00,3.83,0
25,2015-09-01 19:20:00,2.28,0
837,2015-09-10 10:57:00,2.33,0
396,2015-09-03 22:02:00,0.39,0
1634,2015-09-14 16:45:00,2.33,0
1603,2015-09-14 14:10:00,7.33,0
1781,2015-09-15 08:21:00,12.78,0
1944,2015-09-15 23:44:00,0.61,0
645,2015-09-08 18:46:00,1.0,0
444,2015-09-04 07:27:00,12.22,0
1507,2015-09-14 02:48:00,0.5,0
1622,2015-09-14 15:45:00,3.33,0
2367,2015-09-17 15:28:00,2.83,0
971,2015-09-11 06:27:00,9.94,0
1437,2015-09-13 17:33:00,10.17,0
601,2015-09-08 13:01:00,5.17,0
565,2015-09-04 20:33:00,3.33,0
1503,2015-09-14 02:08:00,0.0,0
335,2015-09-03 14:01:00,6.17,0
1444,2015-09-13 18:08:00,10.67,0
895,2015-09-10 18:02:00,4.39,0
773,2015-09-09 21:13:00,0.78,0
2139,2015-09-16 18:30:00,5.94,0
290,2015-09-03 08:56:00,8.0,0
1984,2015-09-16 04:44:00,0.78,0
2217,2015-09-17 02:50:00,0.0,0
