,timestamp,value,label
1024,2015-09-10 18:52:00,76,0
1,2015-08-31 18:32:00,80,0
1962,2015-09-15 13:54:00,88,0
172,2015-09-02 00:15:00,64,0
818,2015-09-09 11:43:00,81,0
797,2015-09-09 01:11:00,87,0
451,2015-09-03 13:26:00,91,0
1619,2015-09-14 01:08:00,80,0
749,2015-09-08 16:41:00,92,0
816,2015-09-09 11:23:00,77,0
1319,2015-09-12 10:36:00,94,0
1854,2015-09-15 04:16:00,85,0
1472,2015-09-13 09:11:00,88,0
637,2015-09-04 15:42:00,87,0
1487,2015-09-13 10:46:00,84,0
1775,2015-09-14 18:35:00,85,0
6,2015-08-31 19:47:00,62,0
1902,2015-09-15 08:26:00,88,0
2373,2015-09-17 05:55:00,81,0
2115,2015-09-16 05:59:00,91,0
2324,2015-09-17 01:25:00,74,0
1394,2015-09-12 17:46:00,88,0
481,2015-09-03 16:41:00,71,0
1998,2015-09-15 16:59:00,78,0
1155,2015-09-11 12:49:00,83,0
1070,2015-09-11 03:32:00,86,0
33,2015-09-01 02:37:00,69,0
2066,2015-09-15 23:54:00,70,0
861,2015-09-09 17:08:00,76,0
1963,2015-09-15 13:59:00,84,0
990,2015-09-10 15:22:00,86,0
1797,2015-09-14 20:55:00,86,0
1461,2015-09-13 07:16:00,82,0
537,2015-09-04 04:22:00,92,0
498,2015-09-03 18:21:00,78,0
31,2015-09-01 01:52:00,77,0
956,2015-09-10 10:52:00,88,0
389,2015-09-03 07:01:00,94,0
1013,2015-09-10 17:47:00,79,0
2485,2015-09-17 15:18:00,77,0
999,2015-09-10 16:12:00,90,0
1235,2015-09-11 20:26:00,92,0
1376,2015-09-12 16:06:00,67,0
1396,2015-09-12 17:56:00,89,0
1547,2015-09-13 16:38:00,81,0
491,2015-09-03 17:41:00,79,0
1724,2015-09-14 14:15:00,74,0
1289,2015-09-12 07:21:00,100,0
1168,2015-09-11 13:59:00,80,0
1344,2015-09-12 12:56:00,86,0
979,2015-09-10 13:57:00,88,0
1212,2015-09-11 17:49:00,85,0
1826,2015-09-15 00:16:00,59,0
1340,2015-09-12 12:36:00,94,0
415,2015-09-03 09:26:00,79,0
2173,2015-09-16 10:54:00,64,0
2290,2015-09-16 21:15:00,80,0
2171,2015-09-16 10:44:00,70,0
777,2015-09-08 20:26:00,80,0
1926,2015-09-15 10:41:00,91,0
1615,2015-09-13 23:59:00,69,0
1315,2015-09-12 10:11:00,109,0
2302,2015-09-16 22:20:00,75,0
1390,2015-09-12 17:26:00,77,0
1912,2015-09-15 09:16:00,84,0
673,2015-09-04 19:12:00,87,0
655,2015-09-04 17:32:00,94,0
2455,2015-09-17 12:50:00,86,0
2339,2015-09-17 03:00:00,84,0
1837,2015-09-15 01:55:00,66,0
686,2015-09-04 20:38:00,84,0
2187,2015-09-16 12:09:00,84,0
1159,2015-09-11 13:09:00,89,0
94,2015-09-01 10:20:00,68,0
26,2015-09-01 00:22:00,47,0
331,2015-09-02 21:21:00,81,0
1450,2015-09-13 02:56:00,77,0
1534,2015-09-13 15:28:00,87,0
1915,2015-09-15 09:31:00,86,0
65,2015-09-01 07:10:00,81,0
1082,2015-09-11 05:42:00,96,0
1750,2015-09-14 16:25:00,82,0
1964,2015-09-15 14:04:00,78,0
748,2015-09-08 16:36:00,90,0
2224,2015-09-16 15:20:00,83,0
1307,2015-09-12 09:16:00,96,0
643,2015-09-04 16:27:00,80,0
1248,2015-09-11 21:51:00,72,0
1023,2015-09-10 18:47:00,78,0
2367,2015-09-17 05:25:00,82,0
534,2015-09-04 03:12:00,73,0
1649,2015-09-14 05:38:00,86,0
1225,2015-09-11 18:56:00,77,0
139,2015-09-01 18:10:00,81,0
1263,2015-09-12 00:41:00,62,0
1545,2015-09-13 16:28:00,85,0
547,2015-09-04 05:52:00,86,0
1242,2015-09-11 21:01:00,93,0
1924,2015-09-15 10:31:00,91,0
849,2015-09-09 15:53:00,78,0
1140,2015-09-11 11:29:00,83,0
109,2015-09-01 12:05:00,71,0
2348,2015-09-17 03:50:00,69,0
1886,2015-09-15 07:06:00,81,0
2372,2015-09-17 05:50:00,85,0
1925,2015-09-15 10:36:00,78,0
814,2015-09-09 11:08:00,76,0
1605,2015-09-13 22:43:00,88,0
967,2015-09-10 12:12:00,81,0
1436,2015-09-12 22:46:00,91,0
1134,2015-09-11 10:54:00,90,0
2041,2015-09-15 21:04:00,72,0
