Date,Value
0,-363.2789093
1,320.8885899
2,891.7274217
3,1174.652287
4,1712.2902609999999
5,1081.236959
6,328.35975279999997
7,-170.316551
8,-304.7507381
9,-477.6408154
10,-474.93394969999997
11,-113.87757169999999
12,-74.36444572
13,544.8066261
14,356.9283472
15,622.5744194
16,591.5547462999999
17,196.511187
18,-65.44366044
19,-656.6879451
20,-774.5267022
21,-669.5675022
22,-875.4452999
23,-597.1863826
24,250.86527489999997
25,719.9168427999999
26,1064.1656039999998
27,1298.79773
28,3411.9878630000003
29,1283.487464
30,989.6227127000001
31,527.5849996000001
32,-149.73466399999998
33,62.59227507
34,-273.0696325
35,401.2466879
36,419.0567168
37,479.44082019999996
38,585.3177197000001
39,524.6971518
40,365.908056
41,-99.28792204
42,108.8285584
43,-367.41608239999994
44,-876.4524733999999
45,-803.583405
46,-754.8777977000001
47,312.2205414
48,76.91328899
49,774.1605637
50,1250.170816
51,1533.52334
52,1301.5531210000001
53,555.2833284
54,374.9298816
55,318.94795330000005
56,-123.6061226
57,-532.6261468
58,-330.6639703
59,-310.1805519
60,224.7391693
61,2318.403074
62,723.5271855000001
63,702.3850081
64,465.66196510000003
65,95.40372195
66,-289.7372903
67,-913.2306555
68,-1059.961779
69,-929.4022749
70,-637.4680976
71,-465.8771432
72,-12.7414106
73,315.1745561
74,587.3647195
75,925.9557053
76,1352.391866
77,966.2766049
78,320.31145130000004
79,-171.7676753
80,-533.1666882000001
81,-398.4972994
82,-694.8489827999999
83,-156.7981646
84,-18.28740405
85,416.289846
86,85.27921909
87,294.35857230000005
88,-111.78414520000001
89,-128.00971380000001
90,-683.7244883
91,-1191.3279300000002
92,-1056.597423
93,-1399.227357
94,-1030.835145
95,-685.7221909
96,-537.11923
97,15.09266732
98,566.6881282
99,480.01799950000003
100,827.3049832
101,120.500767
102,391.44691639999996
103,-548.3751268999999
104,-396.60932660000003
105,-1080.885273
106,-1205.7785
107,-788.4312261
108,-501.45728139999994
109,-615.1927155000001
110,210.70533999999998
111,-290.71696610000004
112,-140.2479519
113,1739.6437429999999
114,-978.9914964
115,-1444.889027
116,-1635.673759
117,-1979.200713
118,-1719.923864
119,-1388.329151
120,-232.8069585
121,271.9288401
122,388.11947349999997
123,236.77644669999998
124,482.2466267
125,577.2627461
126,-289.1008654
127,-420.38744800000006
128,-1184.405387
129,-976.6498216
130,-1344.762627
131,-1214.629668
132,-851.9942245999999
133,-532.8898619
134,-346.11581639999997
135,61.82581031
136,-274.9578599
137,-710.7732274
138,-1314.277548
139,-1691.3299149999998
140,-1886.1324539999998
141,-2003.145343
142,-1636.673131
143,-1004.5432310000001
144,-856.8513098999999
145,300.74246489999996
146,65.67963806
147,561.6485062999999
148,1108.621793
149,512.2352555
150,-145.0532738
151,-708.3418067000001
152,-706.3389194
153,-1018.128069
154,-1075.20273
155,-708.0160865
156,-589.5599967
157,456.7828972
158,432.59223719999994
159,250.33742519999998
160,64.17110335
161,-566.2911636
162,-648.0033425
163,-1323.87646
164,-1724.642168
165,-1074.202559
166,-1518.8107220000002
167,-947.7541682
168,-482.26998089999995
169,-19.4536442
170,765.392256
171,482.55868039999996
172,763.7753964999999
173,431.36246950000003
174,-146.3281746
175,-253.5914971
176,-673.9279994
177,-882.3822825999999
178,-484.2176619
179,-384.1447514
180,-222.3373057
181,143.3067915
182,138.2836918
183,291.9531171
184,425.5914771000001
185,-174.6993103
186,-552.1536715
187,-504.27271129999997
188,-1393.7650019999999
189,-1034.887639
190,-629.2890529
191,-881.4715725
192,-91.95927658
193,347.7403726
194,740.3780494
195,819.1243334
196,819.7505507000001
197,1074.792303
198,522.6968992
199,140.7870569
200,-19.60324472
201,-649.6440325
202,-351.9661341
203,-361.3901247
204,-166.122242
205,466.9241915
206,453.18440030000005
207,212.2444735
208,223.9573065
209,282.3679361
210,-223.50655869999997
211,-1240.602308
212,-3335.17072
213,-1003.154526
214,-1383.58463
215,-266.0790832
216,-199.5960434
