Date,Value
1416726000,27.10988845
1416729600,40.77644211
1416733200,122.5414689
1416736800,168.2227932
1416740400,196.9421084
1416744000,202.4245012
1416747600,261.5377209
1416751200,320.8177289
1416754800,372.5000565
1416758400,468.3286931
1416762000,478.622598
1416765600,490.0618247
1416769200,526.4437407
1416772800,587.5715203
1416776400,629.8277071
1416780000,669.2397335
1416783600,724.2122651
1416787200,740.4386764
1416790800,807.7474729
1416794400,811.1718044
1416798000,870.1035404
1416801600,919.4417802
1416805200,950.0303215
1416808800,998.8038239
1416812400,1014.33644
1416816000,1058.629164
1416819600,1102.234984
1416823200,1095.133034
1416826800,1111.671903
1416830400,1167.400059
1416834000,1187.974252
1416837600,1206.735138
1416841200,1232.927282
1416844800,1250.932545
1416848400,1301.007331
1416852000,1329.716623
1416855600,1344.728415
1416859200,1331.805925
1416862800,1382.310823
1416866400,1364.452585
1416870000,1419.764141
1416873600,1405.656914
1416877200,1393.898101
1416880800,1393.941379
1416884400,1393.398265
1416888000,1400.468548
1416891600,1393.419172
1416895200,1452.418348
1416898800,1445.934952
1416902400,1422.47765
1416906000,1430.090707
1416909600,1412.30569
1416913200,1465.66945
1416916800,1390.359789
1416920400,1397.056103
1416924000,1393.104015
1416927600,1388.984625
1416931200,1359.048538
1416934800,1301.180812
1416938400,1305.109809
1416942000,1321.514444
1416945600,1294.677142
1416949200,1254.697607
1416952800,1250.198408
1416956400,1212.357932
1416960000,1210.089526
1416963600,1149.320422
1416967200,1159.922534
1416970800,1129.219894
1416974400,1095.946653
1416978000,1064.390227
1416981600,1037.678689
1416985200,985.8418808
1416988800,963.111697
1416992400,944.688809
1416996000,918.0136472
1416999600,861.1275762
1417003200,817.9555258
1417006800,762.7419295
1417010400,712.3631855
1417014000,685.7048371
1417017600,687.949587
1417021200,636.3234658
1417024800,573.3641562
1417028400,526.336385
1417032000,483.2078345
1417035600,469.2060304
1417039200,398.3035423
1417042800,385.9088276
1417046400,328.2118425
1417050000,296.728275
1417053600,205.6774464
1417057200,178.577844
1417060800,114.1535971
1417064400,99.33796574
1417068000,43.4611148
1417071600,-10.83103553
1417075200,-20.11386253
1417078800,-91.54518393
1417082400,-120.9219572
1417086000,-170.704183
1417089600,-248.4379401
1417093200,-289.7421794
1417096800,-320.1374705
1417100400,-388.7420885
1417104000,-396.3113106
1417107600,-478.2181888
1417111200,-459.5218422
1417114800,-545.8911228
1417118400,-541.1923959
1417122000,-625.4537193
1417125600,-676.8119259
1417129200,-694.6686408
1417132800,-732.5937731
1417136400,-805.5425033
1417140000,-784.2951572
1417143600,-865.1376414
1417147200,-868.7776976
1417150800,-898.5937027
1417154400,-938.166056
1417158000,-974.5265641
1417161600,-997.6986025
1417165200,-1052.928348
1417168800,-1074.774716
1417172400,-1107.472507
1417176000,-1075.803006
