Date,Value,,,,,,
1416722400,8.600845769,,,,,,
1416726000,157.7085372,,,,,,
1416729600,262.9311023,,,,,,
1416733200,342.2794023,,,,,,
1416736800,336.6430206,,,,,,
1416740400,285.5416811,,,,,,
1416744000,159.9518042,,,,,,
1416747600,94.31657588,,,,,,
1416751200,-21.17586772,,,,,,
1416754800,-65.35402347,,,,,,
1416758400,-54.5281813,,,,,,
1416762000,-30.52059077,,,,,,
1416765600,40.45713293,,,,,,
1416769200,69.63210428,,,,,,
1416772800,102.2932535,,,,,,
1416776400,147.4262145,,,,,,
1416780000,69.58776825,,,,,,
1416783600,-66.36074015,,,,,,
1416787200,-85.67304055,,,,,,
1416790800,-243.9536527,,,,,,
1416794400,-277.2930441,,,,,,
1416798000,-320.8966324,,,,,,
1416801600,-273.112852,,,,,,
1416805200,-145.8260915,,,,,,
1416808800,28.52475014,,,,,,
1416812400,163.1045809,,,,,,
1416816000,270.7769406,,,,,,
1416819600,369.4737347,,,,,,
1416823200,368.4957454,,,,,,
1416826800,324.4124048,,,,,,
1416830400,187.8784913,,,,,,
1416834000,64.30819364,,,,,,
1416837600,-20.38972862,,,,,,
1416841200,-17.71628527,,,,,,
1416844800,-87.02759942,,,,,,
1416848400,-5.400556875,,,,,,
1416852000,46.89865551,,,,,,
1416855600,71.21988394,,,,,,
1416859200,99.91195523,,,,,,
1416862800,117.4766427,,,,,,
1416866400,48.36590036,,,,,,
1416870000,-67.95796576,,,,,,
1416873600,-196.4856682,,,,,,
1416877200,-214.4605489,,,,,,
1416880800,-335.4253242,,,,,,
1416884400,-332.6503419,,,,,,
1416888000,-319.6498816,,,,,,
1416891600,-141.5490754,,,,,,
1416895200,-35.87530768,,,,,,
1416898800,117.4258078,,,,,,
1416902400,245.7354689,,,,,,
1416906000,329.680857,,,,,,
1416909600,319.0340811,,,,,,
1416913200,204.8404134,,,,,,
1416916800,145.4839986,,,,,,
1416920400,5.888387861,,,,,,
1416924000,-86.35291728,,,,,,
1416927600,-119.7528682,,,,,,
1416931200,-158.6722654,,,,,,
1416934800,-150.198708,,,,,,
1416938400,-93.96260573,,,,,,
1416942000,-14.63143279,,,,,,
1416945600,-64.92255999,,,,,,
1416949200,-39.32855351,,,,,,
1416952800,-26.36779329,,,,,,
1416956400,-218.9688353,,,,,,
1416960000,-245.872175,,,,,,
1416963600,-410.4970293,,,,,,
1416967200,-485.4637322,,,,,,
1416970800,-479.9783511,,,,,,
1416974400,-380.3207294,,,,,,
1416978000,-282.1170778,,,,,,
1416981600,-168.5258204,,,,,,
1416985200,-15.24317931,,,,,,
1416988800,51.86743338,,,,,,
1416992400,128.2365262,,,,,,
1416996000,118.1462031,,,,,,
1416999600,43.17960113,,,,,,
1417003200,3.788402187,,,,,,
1417006800,-224.9526106,,,,,,
1417010400,-266.0853122,,,,,,
1417014000,-287.7569336,,,,,,
1417017600,-328.1820429,,,,,,
1417021200,-316.5849385,,,,,,
1417024800,-266.3401821,,,,,,
1417028400,-183.4516991,,,,,,
1417032000,-124.6956193,,,,,,
1417035600,-205.772962,,,,,,
1417039200,-307.8107659,,,,,,
1417042800,-355.2514008,,,,,,
1417046400,-532.0233362,,,,,,
1417050000,-584.6659931,,,,,,
1417053600,-651.1571678,,,,,,
1417057200,-615.3379414,,,,,,
1417060800,-625.0673674,,,,,,
1417064400,-520.6248192,,,,,,
1417068000,-350.5554837,,,,,,
1417071600,-237.1793267,,,,,,
1417075200,-75.97392288,,,,,,
1417078800,-36.51465688,,,,,,
1417082400,-52.95692332,,,,,,
1417086000,-121.1413166,,,,,,
1417089600,-222.9679191,,,,,,
1417093200,-343.686652,,,,,,
1417096800,-468.2815453,,,,,,
1417100400,-482.1201135,,,,,,
1417104000,-518.8355121,,,,,,
1417107600,-439.3675474,,,,,,
1417111200,-435.2663652,,,,,,
1417114800,-425.7712864,,,,,,
1417118400,-323.8551921,,,,,,
1417122000,-335.8430682,,,,,,
1417125600,-444.2137996,,,,,,
1417129200,-568.7632525,,,,,,
1417132800,-585.1142707,,,,,,
1417136400,-725.0879184,,,,,,
1417140000,-834.7134632,,,,,,
1417143600,-843.0225066,,,,,,
1417147200,-669.3162552,,,,,,
1417150800,-663.0549325,,,,,,
1417154400,-494.2015622,,,,,,
1417158000,-341.5199633,,,,,,
1417161600,-266.1621588,,,,,,
1417165200,-237.32024,,,,,,
1417168800,-124.9106707,,,,,,
1417172400,-237.7507084,,,,,,
1417176000,-341.2420361,,,,,,
1417179600,-419.5876008,,,,,,
1417183200,-519.3203216,,,,,,
1417186800,-627.7937545,,,,,,
1417190400,-641.4486271,,,,,,
1417194000,-591.918839,,,,,,
1417197600,-560.8216726,,,,,,
1417201200,-463.174967,,,,,,
