Date,Value
1,-363.2789093
2,320.8885899
3,891.7274217
4,1174.652287
5,1712.290261
6,1081.236959
7,328.3597528
8,-170.316551
9,-304.7507381
10,-477.6408154
11,-474.9339497
12,-113.8775717
13,-74.36444572
14,544.8066261
15,356.9283472
16,622.5744194
17,591.5547463
18,196.511187
19,-65.44366044
20,-656.6879451
21,-774.5267022
22,-669.5675022
23,-875.4452999
24,-597.1863826
25,250.8652749
26,719.9168428
27,1064.165604
28,1298.79773
30,1283.487464
31,989.6227127
32,527.5849996
33,-149.734664
34,62.59227507
35,-273.0696325
36,401.2466879
37,419.0567168
38,479.4408202
39,585.3177197
40,524.6971518
41,365.908056
42,-99.28792204
43,108.8285584
44,-367.4160824
45,-876.4524734
46,-803.583405
47,-754.8777977
48,312.2205414
49,76.91328899
50,774.1605637
51,1250.170816
52,1533.52334
53,1301.553121
54,555.2833284
55,374.9298816
56,318.9479533
57,-123.6061226
58,-532.6261468
59,-330.6639703
60,-310.1805519
61,224.7391693
63,723.5271855
64,702.3850081
65,465.6619651
66,95.40372195
67,-289.7372903
68,-913.2306555
69,-1059.961779
70,-929.4022749
71,-637.4680976
72,-465.8771432
73,-12.7414106
74,315.1745561
75,587.3647195
76,925.9557053
77,1352.391866
78,966.2766049
79,320.3114513
80,-171.7676753
81,-533.1666882
82,-398.4972994
83,-694.8489828
84,-156.7981646
85,-18.28740405
86,416.289846
87,85.27921909
88,294.3585723
89,-111.7841452
90,-128.0097138
91,-683.7244883
92,-1191.32793
93,-1056.597423
94,-1399.227357
95,-1030.835145
96,-685.7221909
97,-537.11923
98,15.09266732
99,566.6881282
100,480.0179995
101,827.3049832
102,120.500767
103,391.4469164
104,-548.3751269
105,-396.6093266
106,-1080.885273
107,-1205.7785
108,-788.4312261
109,-501.4572814
110,-615.1927155
111,210.70534
112,-290.7169661
113,-140.2479519
115,-978.9914964
116,-1444.889027
117,-1635.673759
118,-1979.200713
119,-1719.923864
120,-1388.329151
121,-232.8069585
122,271.9288401
123,388.1194735
124,236.7764467
125,482.2466267
126,577.2627461
127,-289.1008654
128,-420.387448
129,-1184.405387
130,-976.6498216
131,-1344.762627
132,-1214.629668
133,-851.9942246
134,-532.8898619
135,-346.1158164
136,61.82581031
137,-274.9578599
138,-710.7732274
139,-1314.277548
140,-1691.329915
141,-1886.132454
142,-2003.145343
143,-1636.673131
144,-1004.543231
145,-856.8513099
146,300.7424649
147,65.67963806
148,561.6485063
149,1108.621793
150,512.2352555
151,-145.0532738
152,-708.3418067
153,-706.3389194
154,-1018.128069
155,-1075.20273
156,-708.0160865
157,-589.5599967
158,456.7828972
159,432.5922372
160,250.3374252
161,64.17110335
162,-566.2911636
163,-648.0033425
164,-1323.87646
165,-1724.642168
166,-1074.202559
167,-1518.810722
168,-947.7541682
169,-482.2699809
170,-19.4536442
171,765.392256
172,482.5586804
173,763.7753965
174,431.3624695
175,-146.3281746
176,-253.5914971
177,-673.9279994
178,-882.3822826
179,-484.2176619
180,-384.1447514
181,-222.3373057
182,143.3067915
183,138.2836918
184,291.9531171
185,425.5914771
186,-174.6993103
187,-552.1536715
188,-504.2727113
189,-1393.765002
190,-1034.887639
191,-629.2890529
192,-881.4715725
193,-91.95927658
194,347.7403726
195,740.3780494
196,819.1243334
197,819.7505507
198,1074.792303
199,522.6968992
200,140.7870569
201,-19.60324472
202,-649.6440325
203,-351.9661341
204,-361.3901247
205,-166.122242
206,466.9241915
207,453.1844003
208,212.2444735
209,223.9573065
210,282.3679361
211,-223.5065587
212,-1240.602308
214,-1003.154526
215,-1383.58463
216,-266.0790832
217,-199.5960434
218,516.4109992
219,809.979744
220,1422.254297
221,659.8815102
222,707.0941986
223,83.17723753
224,-5.834714906
225,65.97970372
226,-1003.253322
227,-653.9676779
228,-489.5357457
229,193.5674842
230,-111.9614107
231,418.1751998
232,706.2176094
233,53.1752162
234,-410.7043352
235,-723.9231529
236,-979.3578383
237,-1605.785044
238,-1042.383543
239,-1230.436555
240,-1517.108377
241,-580.8615424
242,556.2155862
243,359.460035
244,753.1431936
245,732.1845026
246,74.53180399
247,150.9938215
248,-309.1953894
249,-331.2462314
250,-725.693195
251,-946.9572189
252,-806.8260161
253,-363.812564
254,-432.7270002
255,-21.11741812
256,39.1805796
257,-112.0031955
258,-870.0135746
259,-704.7367959
260,-1296.409121
261,-1145.999502
262,-2232.364844
263,-1739.00126
264,-1607.379341
265,-789.6520097
266,-103.6329464
267,619.1905777
268,305.1913854
269,74.80823847
270,12.85721153
271,-180.1880289
272,-724.2345128
273,-817.0425425
274,-1390.231743
275,-1700.355739
276,-907.1605189
277,-1105.04655
278,-412.2716244
279,-252.0413124
280,-277.3775
281,-150.5522098
282,-959.1510128
283,-1655.695094
284,-1738.12861
285,-2072.474246
286,-1915.492915
287,-1483.991998
288,-1887.27649
289,-989.6818348
290,-398.9576897
291,119.465504
292,26.54257207
293,238.7486352
294,-23.90135587
295,-516.4027051
296,-972.7750627
297,-947.7955976
298,-1316.273055
299,-997.5328698
300,-1324.784069
301,-1255.480414
302,-757.6686644
303,-445.6165333
304,-504.0074068
305,-723.647572
306,-1340.842051
307,-1582.42366
308,-2046.170479
309,-1969.675012
310,-1995.563776
311,-1506.321457
312,-1528.520064
313,-693.4068892
314,-492.6215799
315,-318.0544092
316,350.2378389
317,94.78976186
318,-228.5006919
319,-599.4028051
320,-585.6276924
321,-810.1165712
322,-1114.856614
323,-1387.34423
324,-1425.849907
325,-758.6673116
326,-241.7335032
327,-101.1519326
328,-194.7693516
329,-387.0248768
330,-972.8445263
331,-1087.692122
332,-1565.004404
333,-1808.201609
334,-1899.386385
335,-1908.545471
336,-1353.794537
337,-494.277763
338,-124.1328825
339,292.3063126
340,460.2945282
341,804.7328617
342,234.4314404
343,-97.72678057
344,-538.063449
345,-1134.820458
346,-1095.037052
347,-748.4742857
348,-737.5721204
349,-877.7679974
350,-211.2617204
351,106.61403
352,-14.39415721
353,14.64035244
354,-547.2788857
355,-1172.748028
356,-1144.15804
357,-1503.052904
358,-1468.749195
359,-1141.107327
360,-921.47805
361,-814.4029679
362,131.6111752
363,135.383287
364,603.8691975
365,917.7429562
366,37.31655727
367,72.32253135
368,-519.976343
369,-791.6311483
370,-670.897883
371,-772.5521953
372,-379.4912397
373,-650.3508462
374,-290.3132519
375,-68.60062165
376,95.96661295
377,-291.1267126
378,-596.7625486
379,-1063.134205
380,-1092.844332
381,-1366.372253
382,-1323.021329
383,-714.0867906
384,-974.8231942
385,-247.789317
386,881.3499633
387,651.0058662
388,700.289047
389,441.9120386
390,276.7883405
391,-396.7952338
392,-806.0967943
393,-888.0265366
394,-909.0398355
395,-966.0063429
396,-882.4833068
397,-930.8942532
398,-62.96721154
399,73.50504576
400,351.3738294
401,-657.1252043
402,-648.3805678
403,-611.4769312
404,-1405.658963
405,-1379.252524
406,-1622.496671
407,-1535.738857
408,-957.1275448
409,-1079.597516
410,-222.5877396
411,394.8609191
412,755.5912838
413,566.1874713
414,158.5775995
415,-32.60738194
416,-740.8526111
417,-1366.181678
418,-1310.297972
419,-1340.54874
420,-1036.647976
421,-931.3430756
422,-407.3489769
423,101.7499317
424,-801.1059277
425,-440.1008389
426,-1109.45564
427,-1531.415501
428,-2223.218483
429,-2131.008909
430,-2046.450167
431,-2271.448306
432,-1086.339192
433,-1205.073148
434,-1047.004141
435,-142.9966122
436,624.9670678
437,394.5080068
438,48.66431359
439,-476.7940587
440,-994.6477847
441,-1565.117981
442,-2009.844347
443,-2171.188555
444,-1742.907785
445,-1598.146337
446,-1124.784699
447,-537.6025665
448,-907.6050858
449,-1251.910174
450,-1474.877203
451,-2086.461403
452,-1900.454928
453,-2706.377073
454,-2434.615511
455,-2067.5431
456,-1517.151983
457,-831.183646
458,-1164.422567
459,-128.5956217
460,-276.5468127
461,-231.2456325
462,-109.8063571
463,-991.9356525
464,-1120.200728
465,-1649.849219
466,-1925.355978
467,-1461.571895
468,-1650.351867
469,-1349.355626
470,-837.4616674
471,-589.7604522
472,-1000.708392
473,-693.9695557
474,-1455.996583
475,-1939.342673
476,-2672.35252
477,-2412.138341
478,-2338.093072
479,-2369.505031
480,-1495.799574
481,-1106.412739
482,-692.7484663
483,125.4395749
484,-440.1828722
485,-52.31221662
486,-170.3030554
487,-991.4016863
488,-1237.488986
489,-1528.120171
490,-1791.588776
491,-1642.909417
492,-1490.880097
493,-1341.902077
494,-660.288138
496,-751.5050223
497,-662.2348536
498,-713.2108296
499,-1941.002033
500,-1867.63994
501,-2066.928415
502,-2181.148864
503,-1372.218948
504,-1255.806841
505,-1135.404842
506,-615.9466326
507,167.2629434
508,404.2986378
509,308.8971823
510,-247.7733129
511,-365.7247533
512,-927.0961325
513,-810.8427141
514,-1616.008653
515,-1378.734887
516,-1421.533646
517,-1103.555771
518,-564.4442147
519,-415.5028322
520,-449.8526932
521,-141.4145644
522,-822.242944
